epoch,accuracy,loss,val_accuracy,val_loss
0,0.49937498569488525,0.7104015946388245,0.5099999904632568,0.692209005355835
1,0.5299999713897705,0.6899873614311218,0.6324999928474426,0.686879575252533
2,0.578125,0.6835233569145203,0.5699999928474426,0.6815779209136963
3,0.5924999713897705,0.671867847442627,0.6349999904632568,0.6645089983940125
4,0.6318749785423279,0.6514095067977905,0.6575000286102295,0.6324977278709412
5,0.6412500143051147,0.6378490924835205,0.5824999809265137,0.6793991923332214
6,0.6662499904632568,0.6252702474594116,0.6650000214576721,0.6236250996589661
7,0.6818749904632568,0.6040286421775818,0.6349999904632568,0.6326776742935181
8,0.6700000166893005,0.6083043813705444,0.6625000238418579,0.6229680776596069
9,0.6918749809265137,0.5907500982284546,0.6775000095367432,0.6165048480033875
10,0.706250011920929,0.5774321556091309,0.6875,0.6155726313591003
11,0.7037500143051147,0.5752903819084167,0.6474999785423279,0.6249721646308899
12,0.7043750286102295,0.5763468146324158,0.6625000238418579,0.6077126860618591
13,0.7200000286102295,0.5572153329849243,0.699999988079071,0.598414957523346
14,0.715624988079071,0.5456924438476562,0.6675000190734863,0.5972370505332947
15,0.7418749928474426,0.5321730971336365,0.6499999761581421,0.6616703867912292
16,0.715624988079071,0.5666642189025879,0.6800000071525574,0.5998294353485107
17,0.7524999976158142,0.5169961452484131,0.6725000143051147,0.6470617651939392
18,0.7518749833106995,0.5224739909172058,0.6025000214576721,0.6834402680397034
19,0.7237499952316284,0.539572536945343,0.6675000190734863,0.5977708101272583
20,0.7549999952316284,0.5009024143218994,0.6800000071525574,0.5952969193458557
21,0.7350000143051147,0.5291304588317871,0.6850000023841858,0.6056027412414551
22,0.7649999856948853,0.4761526584625244,0.6625000238418579,0.6678095459938049
23,0.7406250238418579,0.508048951625824,0.6899999976158142,0.5897928476333618
24,0.7737500071525574,0.4789142608642578,0.6499999761581421,0.6734135150909424
25,0.7718750238418579,0.48664599657058716,0.6875,0.6174262762069702
26,0.7787500023841858,0.454590380191803,0.7049999833106995,0.6003233194351196
27,0.78125,0.4576583802700043,0.6700000166893005,0.5929803252220154
28,0.7787500023841858,0.4535015821456909,0.675000011920929,0.6005053520202637
29,0.7799999713897705,0.45798882842063904,0.7024999856948853,0.6030499935150146
30,0.8037499785423279,0.43110135197639465,0.6600000262260437,0.6248563528060913
31,0.7925000190734863,0.4448475241661072,0.7124999761581421,0.6314059495925903
32,0.8075000047683716,0.4076283276081085,0.6499999761581421,0.6189417839050293
33,0.7975000143051147,0.43651115894317627,0.6974999904632568,0.6229769587516785
34,0.8075000047683716,0.42590683698654175,0.6949999928474426,0.6138845682144165
35,0.8218749761581421,0.3919180929660797,0.6924999952316284,0.6172636151313782
